STATE,BANK_STATE,APPROVAL_YEAR,TERM,EMPLOYEE_COUNT,JOBS_CREATED_COUNT,JOBS_RETAINED_COUNT,IS_URBAN,IS_REVOLVER,IS_LOW_DOC,DISBURSEMENT_AMOUNT,LOAN_AMOUNT,TREASURY_YIELD,CPI_INDEX,GDP,MORTGAGE_30_US_FIXED,UNRATE,INDPRO_INDEX,UMCSENT_INDEX,CSUSHPINSA_INDEX,CP_INDEX,FEDFUNDS_RATE,INDUSTRY,IS_Franchise,NEW,DAYS_TO_DIBURSEMENT,DEFAULT,DisbursementYEAR,SAME_STATE,SBA_APPROVED_PERCENTAGE,REAL_ESTATE,DISBURSED_GREATER_THAN_LOAN
IN,OH,1997,84,4,0,0,0,0,1,60000.0,60000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Retail_trade,0,1,730,0,1999,0,0.8,0,0
IN,IN,1997,60,2,0,0,0,0,1,40000.0,40000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Accom/Food_serv,0,1,92,0,1997,1,0.8,0,0
IN,IN,1997,180,7,0,0,0,0,0,287000.0,287000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Healthcare/Social_assist,0,0,306,0,1997,1,0.75,0,0
CT,DE,1997,120,19,0,0,0,0,0,517000.0,517000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Manufacturing,0,0,122,0,1997,0,0.75,0,0
FL,AL,1997,84,1,0,0,0,0,1,45000.0,45000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Other_no_pub,0,1,487,0,1998,0,0.8,0,0
FL,FL,1997,297,2,0,0,0,0,0,305000.0,305000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Accom/Food_serv,0,1,153,0,1997,1,0.75,1,0
NC,GA,1997,84,1,0,0,0,0,1,70000.0,70000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Other_no_pub,0,1,360,0,1998,0,0.8,0,0
IL,OR,1997,60,24,0,0,0,0,0,150000.0,300000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Construction,0,0,275,0,1997,0,0.75,0,0
NC,MN,2006,162,2,0,0,1,0,0,253400.0,253400.0,4.791666666666667,201.5583333333333,13815.583,6.413269230769231,4.608333333333333,98.921075,87.30833333333334,183.48125,1463.46675,4.964166666666666,Retail_trade,1,1,52,0,2006,0,0.75,0,0
OK,NC,1997,12,5,0,0,0,0,0,350000.0,350000.0,6.3525,160.525,8577.5525,7.598846153846154,4.941666666666666,80.56905,103.21666666666664,85.31741666666666,592.26625,5.46,Wholesale_trade,0,1,214,0,1997,0,0.75,0,0
